fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/17,0.366141,1.375654,0.005185,100.0,100.0
2020/01/18,0.502038,1.375654,0.006797,100.0,100.0
2020/01/19,0.275112,1.544619,0.005185,100.0,100.0
2020/01/20,0.508398,1.458213,0.006797,100.0,100.0
2020/01/21,0.414291,1.375654,0.006797,100.0,100.0
2020/01/22,0.270381,1.634301,0.005185,100.0,100.0
2020/01/23,0.346393,1.458213,0.003874,100.0,100.0
2020/01/24,0.216894,1.375654,0.000875,99.3,100.0
2020/01/25,0.219415,1.220426,0.005185,100.0,100.0
2020/01/26,0.245808,1.458213,0.006797,100.0,100.0
2020/01/27,0.201562,1.220426,0.002819,100.0,100.0
2020/01/28,0.187762,1.296516,0.000875,100.0,100.0
2020/01/29,0.171187,1.147878,0.001350,100.0,100.0
2020/01/30,0.197423,1.147878,0.003874,100.0,100.0
2020/01/31,0.215901,1.147878,0.005185,100.0,100.0
2020/02/01,0.285693,1.296516,0.005185,100.0,100.0
2020/02/02,0.259840,1.544619,0.005185,100.0,100.0
2020/02/03,0.200230,1.220426,0.003874,100.0,100.0
2020/02/04,0.183697,1.296516,0.002819,100.0,100.0
2020/02/05,0.151682,1.544619,0.000534,100.0,100.0
2020/02/06,0.189846,1.078489,0.002819,100.0,100.0
2020/02/07,0.157074,1.011924,0.000875,100.0,100.0
2020/02/08,0.085560,1.147878,0.000065,100.0,100.0
2020/02/09,0.139584,0.948608,0.000301,100.0,100.0
2020/02/10,0.143258,0.948608,0.000301,100.0,100.0
2020/02/11,0.119850,0.581796,0.000875,99.3,100.0
2020/02/12,0.056885,0.251204,0.003874,100.0,100.0
2020/02/13,0.060230,0.120697,0.002819,100.0,100.0
2020/02/14,0.061310,0.151146,0.020590,100.0,100.0
2020/02/15,0.069082,0.135306,0.020590,100.0,100.0
2020/02/16,0.062554,0.186844,0.016931,100.0,100.0
2020/02/17,0.057456,0.120697,0.016931,100.0,100.0
2020/02/18,0.112864,0.626475,0.016931,100.0,100.0
2020/02/19,0.115431,0.673759,0.001989,100.0,100.0
2020/02/20,0.234382,1.737859,0.024805,99.3,100.0
2020/02/21,0.177086,0.631385,0.011309,100.0,100.0
2020/02/22,0.163743,0.429322,0.011309,100.0,100.0
2020/02/23,0.246370,1.835422,0.005342,100.0,100.0
2020/02/24,0.158300,0.678746,0.011309,100.0,100.0
2020/02/25,0.148220,0.631385,0.014080,100.0,100.0
2020/02/26,0.126585,1.384300,0.004001,100.0,100.0
2020/02/27,0.216715,1.467230,0.004001,100.0,100.0
2020/02/28,0.345734,1.304801,0.005342,100.0,100.0
2020/02/29,0.164226,1.304801,0.004001,100.0,100.0
2020/03/01,0.201487,1.228359,0.004001,100.0,100.0
2020/03/02,0.087001,0.894507,0.002921,100.0,100.0
2020/03/03,0.195124,1.085746,0.005342,100.0,100.0
2020/03/04,0.184431,1.228359,0.002065,100.0,100.0
2020/03/05,0.245466,1.304801,0.004001,100.0,100.0
2020/03/06,0.238556,1.304801,0.004001,100.0,100.0
2020/03/07,0.202230,1.155468,0.002921,100.0,100.0
2020/03/08,0.196661,1.018856,0.002065,100.0,100.0
2020/03/09,0.198187,1.384300,0.002065,100.0,100.0
2020/03/10,0.109533,1.155468,0.000919,100.0,100.0
2020/03/11,0.193074,1.664018,0.000919,100.0,100.0
2020/03/12,0.248366,1.572814,0.009435,100.0,100.0
2020/03/13,0.249984,1.572814,0.011868,100.0,100.0
2020/03/14,0.263302,1.401913,0.009435,100.0,100.0
2020/03/15,0.239175,1.572814,0.003133,100.0,100.0
2020/03/16,0.101613,0.641403,0.000630,100.0,100.0
2020/03/17,0.217157,1.321380,0.001536,100.0,100.0
2020/03/18,0.176851,1.170935,0.002232,100.0,100.0
2020/03/19,0.173539,1.244521,0.001536,100.0,100.0
2020/03/20,0.177634,1.170935,0.000192,100.0,100.0
2020/03/21,0.117093,1.100536,0.001012,100.0,100.0
2020/03/22,0.146199,1.032986,0.001536,100.0,100.0
2020/03/23,0.160451,1.032986,0.001012,100.0,100.0
2020/03/24,0.094554,0.968714,0.001012,100.0,100.0
2020/03/25,0.111699,1.100536,0.000032,100.0,100.0
2020/03/26,0.098910,0.213499,0.026265,100.0,100.0
2020/03/27,0.083582,0.156530,0.036893,100.0,100.0
2020/03/28,0.065835,0.156530,0.021884,100.0,100.0
2020/03/29,0.082791,0.258953,0.026265,100.0,100.0
2020/03/30,0.248042,1.401913,0.003133,100.0,100.0
2020/03/31,0.472866,1.401913,0.009435,100.0,100.0
2020/04/01,0.437898,1.485594,0.003133,100.0,100.0
2020/04/02,0.285989,1.244521,0.005670,100.0,100.0
2020/04/03,0.356708,1.401913,0.003133,100.0,100.0
2020/04/04,0.240065,1.100536,0.002232,100.0,100.0
2020/04/05,0.211907,1.244521,0.000630,100.0,100.0
2020/04/06,0.290058,1.170935,0.003133,100.0,100.0
2020/04/07,1.014531,2.066001,0.007384,100.0,100.0
2020/04/08,0.455166,1.401913,0.005670,100.0,100.0
2020/04/09,0.449202,1.170935,0.003133,100.0,100.0
2020/04/10,0.215907,1.032986,0.001536,100.0,100.0
2020/04/11,0.271015,1.244521,0.001012,100.0,100.0
2020/04/12,0.238567,1.244521,0.001012,100.0,100.0
2020/04/13,0.182490,1.032986,0.000365,100.0,100.0
2020/04/14,0.178614,0.968714,0.000192,100.0,100.0
2020/04/15,0.252951,1.170935,0.000365,100.0,100.0
2020/04/16,0.207271,1.100536,0.002232,100.0,100.0
2020/04/17,0.254682,0.907374,0.000192,100.0,100.0
2020/04/18,0.116227,0.792947,0.000192,100.0,100.0
2020/04/19,0.082215,0.792947,0.000365,100.0,100.0
2020/04/20,0.147970,1.100536,0.001012,100.0,100.0
2020/04/21,0.173098,1.032986,0.000630,100.0,100.0
2020/04/22,0.169807,1.244521,0.001012,100.0,100.0
2020/04/23,0.124118,1.100536,0.000192,100.0,100.0
2020/04/24,0.142174,0.848664,0.000365,100.0,100.0
2020/04/25,0.096593,0.792947,0.000192,100.0,100.0
2020/04/26,0.075066,0.689298,0.000365,100.0,100.0
2020/04/27,0.110551,0.792947,0.000365,100.0,100.0
2020/04/28,0.150567,0.968714,0.000630,100.0,100.0
2020/04/29,0.139270,0.848664,0.000630,100.0,100.0
2020/04/30,0.126901,0.848664,0.000192,100.0,100.0
2020/05/01,0.119288,0.739915,0.000630,100.0,100.0
2020/05/02,0.066288,0.689298,0.000630,100.0,100.0
2020/05/03,0.131401,0.968714,0.000630,100.0,100.0
2020/05/04,0.124131,0.792947,0.000365,100.0,100.0
2020/05/05,0.252951,0.848664,0.000630,100.0,100.0
2020/05/06,0.173855,0.907374,0.000192,100.0,100.0
2020/05/07,0.415469,0.968714,0.001012,100.0,100.0
2020/05/08,0.343079,1.375654,0.000365,100.0,100.0
2020/05/09,0.920807,1.824827,0.005185,100.0,100.0
2020/05/10,0.299027,1.375654,0.002819,100.0,100.0
2020/05/11,0.331767,1.375654,0.000533,100.0,100.0
2020/05/12,0.208561,1.011924,0.002819,100.0,100.0
2020/05/13,0.304077,1.147878,0.003874,100.0,100.0
2020/05/14,0.212965,1.078229,0.002819,100.0,100.0
2020/05/15,0.199802,1.078229,0.001350,100.0,100.0
2020/05/16,0.347963,1.078229,0.002819,100.0,100.0
2020/05/17,0.213504,1.078229,0.002819,100.0,100.0
2020/05/18,0.470942,1.296219,0.003874,100.0,100.0
2020/05/19,0.352753,1.078229,0.002819,100.0,100.0
2020/05/20,0.384214,1.220426,0.002819,100.0,100.0
2020/05/21,0.325950,0.948608,0.001987,100.0,100.0
2020/05/22,0.254440,1.011924,0.001987,100.0,100.0
2020/05/23,0.218357,1.011924,0.002819,100.0,100.0
2020/05/24,0.312026,1.011924,0.001350,100.0,100.0
2020/05/25,0.414715,1.220426,0.003874,100.0,100.0
2020/05/26,0.696356,1.375654,0.006791,100.0,100.0
2020/05/27,0.903416,1.634301,0.002819,100.0,100.0
2020/05/28,0.413993,1.147878,0.000875,100.0,100.0
2020/05/29,0.338962,1.147878,0.000875,100.0,100.0
2020/05/30,0.296890,1.078229,0.000875,100.0,100.0
2020/05/31,0.197869,0.888196,0.001987,100.0,100.0
2020/06/01,0.315505,0.948608,0.002819,100.0,100.0
2020/06/02,0.204064,1.147878,0.000301,100.0,100.0
2020/06/03,0.279863,1.011924,0.000875,100.0,100.0
2020/06/04,0.179538,1.078229,0.000533,100.0,100.0
2020/06/05,0.343380,1.078229,0.000533,100.0,100.0
2020/06/06,0.183964,1.147878,0.000301,100.0,100.0
2020/06/07,0.197566,0.888196,0.000152,100.0,100.0
2020/06/08,0.113927,0.830389,0.001350,100.0,100.0
2020/06/09,0.070227,0.186844,0.009200,97.9,95.8
2020/06/10,0.044573,0.154804,0.011600,100.0,100.0
2020/06/11,0.046575,0.097510,0.011600,100.0,100.0
2020/06/12,0.039343,0.075495,0.009200,100.0,100.0
2020/06/13,0.038531,0.097510,0.009200,100.0,100.0
2020/06/14,0.076522,0.172231,0.021451,100.0,100.0
2020/06/15,0.217827,0.507866,0.075495,100.0,100.0
2020/06/16,0.110597,0.211341,0.036262,100.0,100.0
2020/06/17,0.067153,0.138625,0.030705,100.0,100.0
2020/06/18,0.078960,0.211341,0.021451,100.0,100.0
2020/06/19,0.312409,0.636631,0.030705,100.0,100.0
2020/06/20,0.717172,1.846728,0.123755,100.0,100.0
2020/06/21,1.561979,3.673605,0.433163,100.0,100.0
2020/06/22,0.565645,0.842825,0.366718,100.0,100.0
2020/06/23,0.522231,0.842825,0.211341,100.0,100.0
2020/06/24,0.292461,0.591258,0.110070,100.0,100.0
2020/06/25,0.200943,0.366718,0.110070,100.0,100.0
