fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/01/01,2.353500,3.800000,0.700000,304.714560,100.0,100.0
2020/01/02,0.716667,1.000000,0.200000,348.403099,100.0,100.0
2020/01/03,1.740000,3.800000,0.300000,214.809164,96.2,95.8
2020/01/04,2.321918,3.600000,0.300000,306.006971,99.7,100.0
2020/01/05,3.403922,5.000000,1.200000,283.236187,97.6,95.8
2020/01/06,2.744615,5.100000,0.600000,280.284886,100.0,100.0
2020/01/07,2.839286,4.600000,1.200000,169.108287,100.0,100.0
2020/01/08,2.433333,5.300000,0.400000,168.020497,100.0,100.0
2020/01/09,4.644033,7.000000,1.700000,120.126349,100.0,100.0
2020/01/10,4.967883,6.500000,3.200000,117.362996,100.0,100.0
2020/01/11,5.070690,6.300000,3.600000,117.225056,100.0,100.0
2020/01/12,5.047368,6.700000,3.500000,116.186419,100.0,100.0
2020/01/13,4.297059,6.800000,1.700000,119.626744,100.0,100.0
2020/01/14,3.448901,5.500000,2.100000,120.743055,100.0,100.0
2020/01/15,3.671134,5.500000,1.900000,117.742105,100.0,100.0
2020/01/16,4.388785,6.000000,2.900000,116.828645,98.6,95.8
2020/01/17,5.282192,7.100000,3.400000,118.376479,100.0,100.0
2020/01/18,5.742857,8.200000,4.100000,106.976304,100.0,100.0
2020/01/19,4.621774,6.600000,2.400000,117.447825,100.0,100.0
2020/01/20,1.800000,2.400000,1.100000,311.516941,100.0,100.0
2020/01/21,1.365455,2.500000,0.400000,94.483972,99.0,100.0
2020/01/22,2.350937,4.273000,0.336000,285.052038,100.0,100.0
2020/01/23,2.522475,4.000000,0.586000,280.957749,100.0,100.0
2020/01/24,2.327571,3.969000,0.945000,218.174323,100.0,100.0
2020/01/25,1.175750,1.828000,0.297000,130.944745,100.0,100.0
2020/01/26,1.156429,2.445000,0.359000,49.197556,100.0,100.0
2020/01/27,1.783537,4.359000,0.117000,92.071460,100.0,100.0
2020/01/28,3.139288,5.023000,1.375000,312.712670,95.8,95.8
2020/01/29,2.727068,4.125000,1.078000,283.150494,100.0,100.0
2020/01/30,0.219000,0.266000,0.172000,209.500000,100.0,100.0
2020/01/31,4.013917,6.367000,1.953000,105.202399,100.0,100.0
2020/02/01,3.079500,4.352000,2.219000,168.330339,100.0,100.0
2020/02/02,0.500000,0.758000,0.242000,222.000000,100.0,100.0
2020/02/03,3.447092,6.023000,0.484000,103.293626,100.0,100.0
2020/02/04,2.860734,4.859000,0.695000,125.462913,99.0,100.0
2020/02/05,2.593667,3.789000,1.992000,160.250000,100.0,100.0
2020/02/06,2.857831,4.805000,1.547000,102.364253,100.0,100.0
2020/02/07,2.243000,4.039000,0.492000,126.189648,100.0,100.0
2020/02/08,1.823658,3.094000,0.258000,307.603227,100.0,100.0
2020/02/09,1.355778,1.898000,0.125000,310.432244,100.0,100.0
2020/02/10,2.803330,4.742000,1.055000,104.132552,100.0,100.0
2020/02/11,2.766000,2.766000,2.766000,158.000000,100.0,100.0
2020/02/12,2.023000,2.023000,2.023000,160.000000,100.0,100.0
2020/02/13,3.820941,5.664000,0.875000,99.952310,100.0,100.0
2020/02/14,2.445500,2.672000,2.219000,167.000000,100.0,100.0
2020/02/15,3.303000,5.070000,1.781000,103.372743,100.0,100.0
2020/02/16,3.009863,4.516000,1.625000,119.434145,100.0,100.0
2020/02/17,4.013953,5.641000,2.250000,119.068354,100.0,100.0
2020/02/18,4.385720,6.617000,1.500000,119.737025,100.0,100.0
2020/02/19,1.565600,2.031000,0.859000,161.625065,100.0,100.0
2020/02/20,1.378750,2.789000,0.789000,225.185020,100.0,100.0
2020/02/21,1.659636,2.625000,0.734000,134.525054,99.3,100.0
2020/02/22,1.576500,2.609000,0.539000,131.397083,100.0,100.0
2020/02/23,2.075673,3.906000,0.195000,98.251734,100.0,100.0
2020/02/24,1.332185,1.852000,0.320000,46.162374,100.0,100.0
2020/02/25,1.186429,2.133000,0.461000,351.154723,100.0,100.0
2020/02/26,1.273957,2.070000,0.133000,48.540014,96.5,95.8
2020/02/27,1.610879,3.305000,0.125000,86.623293,100.0,100.0
2020/02/28,2.187444,4.234000,0.680000,169.713245,100.0,100.0
2020/02/29,1.762750,3.219000,0.289000,129.672278,100.0,100.0
2020/03/01,2.698850,4.195000,1.336000,165.880422,100.0,100.0
2020/03/02,1.959092,4.164000,0.586000,124.474473,100.0,100.0
2020/03/03,3.165932,5.641000,0.109000,100.557703,100.0,100.0
2020/03/04,2.412660,4.219000,0.930000,124.181254,100.0,100.0
2020/03/05,2.407107,4.812000,1.445000,168.739091,121.2,100.0
2020/03/06,1.894444,2.800000,0.300000,322.419012,100.0,100.0
2020/03/07,1.824000,3.100000,0.400000,167.052056,100.0,100.0
2020/03/08,2.746429,5.600000,0.500000,97.373539,100.0,100.0
2020/03/09,1.969886,4.000000,0.300000,129.885100,100.0,100.0
2020/03/10,2.098936,3.400000,1.000000,99.503775,100.0,100.0
2020/03/11,2.065254,4.100000,0.500000,125.029694,100.0,100.0
2020/03/12,2.156757,4.400000,0.200000,98.565151,100.0,100.0
2020/03/13,2.165625,3.900000,0.500000,175.443369,100.0,100.0
2020/03/14,0.450000,0.500000,0.400000,216.500000,100.0,100.0
2020/03/15,0.200000,0.400000,0.100000,216.914902,100.0,100.0
2020/03/16,1.910959,3.400000,0.200000,311.811243,100.0,100.0
2020/03/17,0.350000,0.600000,0.100000,54.500000,100.0,100.0
2020/03/18,2.100000,3.100000,0.300000,280.414477,100.0,100.0
2020/03/19,2.568182,4.100000,1.300000,181.887245,100.0,100.0
2020/03/20,2.640000,3.200000,1.900000,343.500000,99.7,100.0
2020/03/21,2.800000,2.800000,2.800000,355.000000,100.0,100.0
2020/03/22,1.460000,2.400000,0.400000,39.879138,100.0,100.0
2020/03/23,0.800000,1.100000,0.300000,230.027991,100.0,100.0
2020/03/24,1.224324,2.300000,0.400000,55.018811,100.0,100.0
2020/03/25,0.380000,0.600000,0.200000,261.416648,100.0,100.0
2020/03/26,1.644444,4.300000,0.300000,173.354083,100.0,100.0
2020/03/27,1.570968,3.000000,0.700000,314.288520,100.0,100.0
2020/03/28,0.471429,0.800000,0.200000,276.599586,100.0,100.0
2020/03/29,2.567742,4.100000,1.600000,167.639438,100.0,100.0
2020/03/30,4.779787,8.100000,1.500000,102.132716,100.0,100.0
2020/03/31,2.491061,5.100000,0.700000,124.083984,100.0,100.0
2020/04/01,1.264000,2.200000,0.300000,168.759215,100.0,100.0
2020/04/02,0.300000,0.400000,0.200000,232.745868,100.0,100.0
2020/04/03,4.840385,6.600000,2.400000,101.767187,100.0,100.0
2020/04/04,3.808889,5.600000,1.000000,104.845922,100.0,100.0
2020/04/05,1.900000,2.000000,1.800000,165.000000,100.0,100.0
2020/04/06,4.039773,6.100000,2.000000,105.935964,100.0,100.0
2020/04/07,4.257377,7.000000,1.200000,103.814183,100.0,100.0
2020/04/08,4.146939,5.700000,1.200000,121.318196,100.0,100.0
2020/04/09,4.049383,6.700000,2.100000,103.664505,100.0,100.0
2020/04/10,2.168462,4.200000,1.000000,126.216850,100.0,100.0
2020/04/11,0.775000,1.000000,0.600000,52.859825,100.0,100.0
2020/04/12,1.690909,3.700000,0.800000,164.720225,100.0,100.0
2020/04/13,1.593750,3.700000,0.100000,314.014378,100.0,100.0
2020/04/14,2.600000,2.600000,2.600000,247.000000,100.0,100.0
2020/04/15,2.992308,4.600000,1.900000,350.025728,100.0,100.0
2020/04/16,1.411111,2.400000,0.900000,55.633851,100.0,100.0
2020/04/17,2.338265,4.100000,1.000000,97.949942,98.6,95.8
2020/04/18,2.089412,3.700000,0.600000,123.495105,100.0,100.0
2020/04/19,2.825455,5.600000,0.900000,171.419076,100.0,100.0
2020/04/20,2.804000,4.700000,0.400000,170.492343,100.0,100.0
2020/04/21,1.552632,3.000000,0.500000,358.395240,100.0,100.0
2020/04/22,2.386822,4.100000,0.500000,91.263093,100.0,100.0
2020/04/23,2.255102,4.800000,0.800000,98.236609,100.0,100.0
2020/04/24,1.832632,3.700000,0.500000,95.182100,100.0,100.0
2020/04/25,0.400000,0.400000,0.400000,212.000000,100.0,100.0
2020/04/26,2.758333,4.800000,0.600000,169.400638,100.0,100.0
2020/04/27,3.608943,5.300000,1.600000,118.788332,100.0,100.0
2020/04/28,1.457143,2.400000,0.900000,162.592858,100.0,100.0
2020/04/29,1.510227,3.600000,0.500000,126.407452,100.0,100.0
2020/04/30,2.038938,3.800000,0.600000,126.058039,100.0,100.0
2020/05/01,3.826563,5.900000,2.000000,99.034806,100.0,100.0
2020/05/02,3.483562,5.500000,1.200000,100.162742,100.0,100.0
2020/05/03,2.763393,4.100000,0.900000,104.237680,100.0,100.0
2020/05/04,2.553623,4.600000,0.900000,99.268249,100.0,100.0
2020/05/05,1.520000,3.400000,1.000000,169.476148,100.0,100.0
2020/05/06,3.306723,5.800000,1.100000,119.723253,100.0,100.0
2020/05/07,4.472340,6.800000,2.700000,120.541380,100.0,100.0
2020/05/08,5.017436,7.200000,1.800000,102.787836,100.0,100.0
2020/05/09,4.542331,7.300000,2.800000,118.591252,100.0,100.0
2020/05/10,1.662500,2.600000,1.300000,62.714385,100.0,100.0
2020/05/11,1.605263,2.300000,0.300000,352.104039,100.0,100.0
2020/05/12,2.477305,3.900000,1.300000,310.615366,100.0,100.0
2020/05/13,1.746753,3.500000,0.800000,310.998452,97.6,95.8
2020/05/14,2.054430,4.000000,0.300000,175.620104,100.0,100.0
2020/05/15,3.088356,5.500000,1.400000,102.472623,100.0,100.0
2020/05/16,5.701563,7.800000,2.800000,105.831650,100.0,100.0
2020/05/17,4.809184,7.100000,2.900000,106.665058,100.0,100.0
2020/05/18,2.250926,5.000000,1.000000,125.572654,100.0,100.0
2020/05/19,3.620814,5.800000,1.600000,100.301716,100.0,100.0
2020/05/20,3.598734,6.000000,1.400000,118.991755,100.0,100.0
2020/05/21,4.674405,6.500000,2.300000,104.995513,100.0,100.0
2020/05/22,2.825000,3.100000,2.600000,161.750386,100.0,100.0
2020/05/23,4.348958,6.900000,2.600000,120.051821,100.0,100.0
2020/05/24,5.204202,7.400000,3.600000,106.800389,100.0,100.0
2020/05/25,5.087500,8.000000,3.200000,117.640916,100.0,100.0
2020/05/26,5.857143,7.200000,4.900000,115.874638,100.0,100.0
2020/05/27,4.797917,8.300000,0.900000,97.592098,100.0,100.0
2020/05/28,0.400000,0.400000,0.400000,271.000000,100.0,100.0
2020/05/29,0.250000,0.400000,0.100000,268.000000,100.0,100.0
2020/05/30,0.527273,1.300000,0.100000,355.095826,100.0,100.0
2020/05/31,2.080769,3.600000,0.700000,99.631615,100.0,100.0
2020/06/01,3.000000,5.300000,0.000000,102.738425,100.0,100.0
2020/06/02,1.891176,3.200000,0.600000,312.261288,100.0,100.0
2020/06/03,1.824000,2.900000,0.400000,317.141082,99.3,100.0
2020/06/04,2.824528,4.300000,1.300000,106.621268,100.0,100.0
2020/06/05,2.825000,3.700000,1.200000,167.856478,100.0,100.0
2020/06/06,3.975817,6.300000,1.600000,103.459253,100.0,100.0
2020/06/07,3.269403,6.300000,0.900000,122.815989,100.0,100.0
2020/06/08,2.663846,4.200000,1.100000,120.783126,100.0,100.0
2020/06/09,2.810000,4.000000,1.800000,122.348670,100.0,100.0
2020/06/10,2.551337,6.000000,0.300000,89.842330,99.0,100.0
