fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/01,97.560538,99.789000,83.274000,100.0,100.0
2020/01/02,93.637962,99.357000,66.400000,100.0,100.0
2020/01/03,87.633948,99.325000,31.292000,100.0,100.0
2020/01/04,65.555219,96.952000,33.991000,100.0,100.0
2020/01/05,86.113142,99.124000,49.526000,100.0,100.0
2020/01/06,89.906990,99.352000,60.939000,100.0,100.0
2020/01/07,76.254545,97.898000,44.013000,100.0,100.0
2020/01/08,77.851514,98.948000,27.606000,100.0,100.0
2020/01/09,77.693899,97.347000,55.799000,100.0,100.0
2020/01/10,96.132851,99.691000,79.259000,100.0,100.0
2020/01/11,98.671840,99.784000,86.155000,100.0,100.0
2020/01/12,95.310747,99.673000,81.781000,100.0,100.0
2020/01/13,92.063962,99.691000,70.674000,100.0,100.0
2020/01/14,86.546646,96.679000,58.106000,100.0,100.0
2020/01/15,89.359976,99.619000,64.691000,100.0,100.0
2020/01/16,92.256337,99.324000,80.266000,100.0,100.0
2020/01/17,99.251240,99.659000,93.620000,100.0,100.0
2020/01/18,98.452861,99.691000,90.219000,100.0,100.0
2020/01/19,99.068330,99.786000,91.861000,100.0,100.0
2020/01/20,97.338323,99.692000,77.783000,100.0,100.0
2020/01/21,93.695483,99.624000,72.454000,100.0,100.0
2020/01/22,93.295972,99.722000,72.179000,100.0,100.0
2020/01/23,89.343740,99.737000,57.577000,100.0,100.0
2020/01/24,88.644726,98.781000,58.038000,100.0,100.0
2020/01/25,85.993167,98.831000,55.035000,100.0,100.0
2020/01/26,90.828681,98.768000,74.258000,100.0,100.0
2020/01/27,85.371319,98.931000,53.339000,100.0,100.0
2020/01/28,77.920212,99.298000,39.969000,100.0,100.0
2020/01/29,91.896871,98.175000,75.743000,100.0,100.0
2020/01/30,97.518514,99.708000,84.920000,100.0,100.0
2020/01/31,97.438997,99.791000,87.750000,100.0,100.0
2020/02/01,97.330878,99.783000,89.821000,100.0,100.0
2020/02/02,95.158642,99.653000,68.997000,100.0,100.0
2020/02/03,96.383736,99.722000,82.339000,100.0,100.0
2020/02/04,88.028754,99.261000,47.544000,100.0,100.0
2020/02/05,41.111028,75.214000,18.458000,100.0,100.0
2020/02/06,63.057604,97.270000,40.602000,100.0,100.0
2020/02/07,81.806201,97.089000,50.278000,100.0,100.0
2020/02/08,84.848406,97.454000,57.086000,100.0,100.0
