fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/01,631.393917,632.722000,630.020000,100.0,100.0
2020/01/02,631.595070,633.249000,630.072000,100.0,100.0
2020/01/03,632.705153,634.225000,631.369000,100.0,100.0
2020/01/04,633.145156,634.435000,631.948000,100.0,100.0
2020/01/05,632.973118,634.263000,631.860000,100.0,100.0
2020/01/06,631.985212,633.278000,630.876000,100.0,100.0
2020/01/07,631.651920,633.043000,630.547000,100.0,100.0
2020/01/08,631.850799,632.925000,630.828000,100.0,100.0
2020/01/09,631.181281,632.681000,630.088000,100.0,100.0
2020/01/10,630.277132,631.490000,629.100000,100.0,100.0
2020/01/11,630.531833,631.983000,628.927000,100.0,100.0
2020/01/12,631.048295,632.380000,629.927000,100.0,100.0
2020/01/13,631.175035,632.371000,629.796000,100.0,100.0
2020/01/14,630.845344,632.125000,629.739000,100.0,100.0
2020/01/15,631.208038,632.482000,629.600000,100.0,100.0
2020/01/16,632.055087,633.322000,630.745000,100.0,100.0
2020/01/17,631.838465,633.338000,630.503000,100.0,100.0
2020/01/18,631.751306,633.117000,630.460000,100.0,100.0
2020/01/19,631.773170,633.336000,630.441000,100.0,100.0
2020/01/20,632.251823,633.706000,630.986000,100.0,100.0
2020/01/21,632.319052,633.627000,630.900000,100.0,100.0
2020/01/22,632.058767,633.453000,630.408000,100.0,100.0
2020/01/23,631.852285,632.911000,630.222000,100.0,100.0
2020/01/24,632.236417,634.090000,630.673000,100.0,100.0
2020/01/25,632.791097,634.550000,631.491000,100.0,100.0
2020/01/26,633.020038,634.201000,631.828000,100.0,100.0
2020/01/27,632.988316,634.349000,631.244000,100.0,100.0
2020/01/28,632.314931,633.531000,630.755000,100.0,100.0
2020/01/29,632.285278,633.630000,631.109000,100.0,100.0
2020/01/30,632.256979,633.656000,631.022000,100.0,100.0
2020/01/31,632.311990,633.381000,631.232000,100.0,100.0
2020/02/01,632.416125,634.044000,631.104000,100.0,100.0
2020/02/02,632.635496,633.765000,631.288000,100.0,100.0
2020/02/03,632.746399,634.115000,631.622000,100.0,100.0
2020/02/04,632.545514,633.676000,631.330000,100.0,100.0
2020/02/05,631.906087,633.357000,630.336000,100.0,100.0
2020/02/06,631.672069,633.123000,630.446000,100.0,100.0
2020/02/07,632.013660,633.294000,630.699000,100.0,100.0
2020/02/08,632.334601,633.552000,630.976000,100.0,100.0
2020/02/09,632.212306,633.499000,630.766000,100.0,100.0
2020/02/10,631.792458,632.783000,630.596000,100.0,100.0
2020/02/11,631.956542,633.205000,630.853000,100.0,100.0
2020/02/12,631.436087,632.947000,630.424000,100.0,100.0
2020/02/13,631.258451,632.595000,629.928000,100.0,100.0
2020/02/14,631.796573,633.219000,630.294000,100.0,100.0
2020/02/15,631.756312,633.234000,630.642000,100.0,100.0
2020/02/16,631.112896,632.523000,629.898000,100.0,100.0
2020/02/17,630.644712,631.976000,629.427000,100.0,100.0
2020/02/18,631.001788,632.646000,629.602000,100.0,100.0
2020/02/19,631.445316,633.114000,629.933000,100.0,100.0
2020/02/20,631.971764,633.287000,630.553000,100.0,100.0
2020/02/21,632.555237,633.936000,631.249000,99.7,100.0
2020/02/22,632.751667,634.088000,631.387000,100.0,100.0
2020/02/23,632.710608,634.266000,631.406000,100.0,100.0
2020/02/24,632.332264,633.510000,631.036000,100.0,100.0
2020/02/25,632.312479,633.662000,630.796000,100.0,100.0
2020/02/26,632.706757,634.133000,631.332000,100.0,100.0
2020/02/27,632.837757,634.002000,631.381000,100.0,100.0
2020/02/28,633.031885,634.345000,631.719000,100.0,100.0
2020/02/29,633.363118,634.865000,631.611000,100.0,100.0
2020/03/01,633.199628,634.556000,631.780000,100.0,100.0
2020/03/02,632.632972,633.836000,631.569000,100.0,100.0
2020/03/03,632.285802,633.779000,631.008000,100.0,100.0
