fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/01,5.380,8.41,4.07,100.0,100.0
2020/01/02,5.720,10.46,3.51,100.0,100.0
2020/01/03,5.433,10.44,2.94,100.0,100.0
2020/01/04,6.017,13.54,0.04,100.0,100.0
2020/01/05,5.410,11.67,0.82,100.0,100.0
2020/01/06,5.072,11.27,2.34,100.0,100.0
2020/01/07,6.479,13.96,1.65,100.0,100.0
2020/01/08,3.676,9.61,-2.31,100.0,100.0
2020/01/09,3.653,9.53,-1.03,100.0,100.0
2020/01/10,3.779,7.52,1.42,100.0,100.0
2020/01/11,4.339,6.43,3.49,100.0,100.0
2020/01/12,4.577,7.03,3.23,100.0,100.0
2020/01/13,4.342,8.49,2.72,100.0,100.0
2020/01/14,5.395,10.56,2.91,100.0,100.0
2020/01/15,5.283,10.44,3.00,100.0,100.0
2020/01/16,4.637,6.70,3.39,100.0,100.0
2020/01/17,4.687,5.61,3.96,100.0,100.0
2020/01/18,4.588,6.04,3.67,100.0,100.0
2020/01/19,4.934,6.80,3.67,100.0,100.0
2020/01/20,5.581,10.02,4.46,100.0,100.0
2020/01/21,5.792,9.87,4.14,100.0,100.0
2020/01/22,6.106,11.05,4.02,100.0,100.0
2020/01/23,6.598,12.65,3.25,100.0,100.0
2020/01/24,5.915,13.19,1.92,100.0,100.0
2020/01/25,5.590,10.81,2.30,100.0,100.0
2020/01/26,5.235,9.45,1.97,100.0,100.0
2020/01/27,5.837,11.96,2.80,100.0,100.0
2020/01/28,5.378,12.72,-1.53,100.0,100.0
2020/01/29,5.242,9.06,2.96,100.0,100.0
2020/01/30,5.129,8.13,3.91,100.0,100.0
2020/01/31,4.226,5.54,3.47,100.0,100.0
2020/02/01,3.805,5.69,2.75,100.0,100.0
2020/02/02,4.761,9.25,2.90,100.0,100.0
2020/02/03,5.112,7.75,3.72,100.0,100.0
2020/02/04,4.715,7.56,1.76,100.0,100.0
2020/02/05,5.296,12.04,0.95,100.0,100.0
2020/02/06,5.378,11.03,1.19,100.0,100.0
2020/02/07,5.855,13.05,2.04,100.0,100.0
2020/02/08,5.956,12.40,1.29,100.0,100.0
2020/02/09,5.919,12.40,0.97,100.0,100.0
2020/02/10,3.661,5.68,0.71,100.0,100.0
2020/02/11,5.403,12.11,-0.27,100.0,100.0
2020/02/12,5.177,9.71,3.44,100.0,100.0
2020/02/13,5.826,11.70,3.29,100.0,100.0
2020/02/14,5.881,12.33,2.79,100.0,100.0
2020/02/15,4.750,8.10,2.65,100.0,100.0
2020/02/16,4.741,7.36,3.81,100.0,100.0
2020/02/17,4.604,7.33,3.48,100.0,100.0
2020/02/18,4.131,5.29,3.43,100.0,100.0
2020/02/19,4.874,6.24,3.76,100.0,100.0
2020/02/20,5.958,11.22,4.09,100.0,100.0
2020/02/21,6.524,12.02,4.17,99.7,100.0
2020/02/22,6.242,11.34,3.77,100.0,100.0
2020/02/23,5.334,10.88,3.00,100.0,100.0
2020/02/24,5.478,10.40,3.07,100.0,100.0
2020/02/25,6.753,13.40,2.59,100.0,100.0
2020/02/26,5.802,11.07,2.91,100.0,100.0
2020/02/27,6.093,10.58,2.71,100.0,100.0
2020/02/28,6.146,10.41,4.56,100.0,100.0
2020/02/29,5.721,10.09,3.18,100.0,100.0
2020/03/01,5.725,9.12,3.71,100.0,100.0
2020/03/02,5.523,8.52,4.14,100.0,100.0
2020/03/03,5.188,8.61,2.40,100.0,100.0
2020/03/04,6.158,11.42,2.95,100.0,100.0
2020/03/05,5.571,8.31,4.45,100.0,100.0
2020/03/06,5.722,8.53,3.88,100.0,100.0
2020/03/07,5.864,10.15,2.24,100.0,100.0
2020/03/08,4.529,6.23,2.30,100.0,100.0
2020/03/09,5.690,10.65,2.07,100.0,100.0
2020/03/10,6.159,9.97,4.60,100.0,100.0
2020/03/11,5.817,10.63,3.52,100.0,100.0
2020/03/12,4.752,7.78,2.58,100.0,100.0
2020/03/13,6.421,11.84,3.58,100.0,100.0
2020/03/14,5.670,9.08,4.24,100.0,100.0
2020/03/15,6.599,11.57,4.01,100.0,100.0
2020/03/16,6.958,13.76,2.75,100.0,100.0
2020/03/17,6.514,11.26,4.18,100.0,100.0
2020/03/18,6.320,12.60,2.15,100.0,100.0
2020/03/19,6.911,14.26,1.15,100.0,100.0
2020/03/20,5.427,11.20,2.68,100.0,100.0
2020/03/21,4.908,10.22,1.54,100.0,100.0
2020/03/22,5.973,13.20,1.16,100.0,100.0
2020/03/23,4.780,11.28,0.52,100.0,100.0
2020/03/24,5.562,11.46,0.79,100.0,100.0
2020/03/25,5.201,9.88,0.50,100.0,100.0
2020/03/26,5.477,11.91,1.11,100.0,100.0
2020/03/27,6.068,12.12,2.50,100.0,100.0
2020/03/28,5.912,11.85,3.63,100.0,100.0
2020/03/29,4.921,8.22,3.94,100.0,100.0
2020/03/30,4.718,5.33,4.30,100.0,100.0
2020/03/31,5.214,6.53,4.60,100.0,100.0
2020/04/01,5.573,8.09,3.86,100.0,100.0
2020/04/02,4.961,8.27,3.92,100.0,100.0
2020/04/03,4.877,8.03,3.33,100.0,100.0
2020/04/04,5.851,10.09,4.03,100.0,100.0
2020/04/05,5.697,9.30,4.60,100.0,100.0
2020/04/06,5.276,7.18,4.29,100.0,100.0
2020/04/07,4.824,5.74,3.56,100.0,100.0
2020/04/08,5.178,7.82,3.62,100.0,100.0
2020/04/09,5.209,7.51,4.29,100.0,100.0
2020/04/10,5.857,9.20,3.50,100.0,100.0
2020/04/11,5.788,8.55,4.04,100.0,100.0
2020/04/12,5.549,10.17,3.61,100.0,100.0
2020/04/13,5.813,11.93,3.86,100.0,100.0
2020/04/14,6.280,11.15,4.30,100.0,100.0
2020/04/15,4.419,8.61,1.76,100.0,100.0
2020/04/16,4.378,7.74,1.92,100.0,100.0
2020/04/17,4.908,9.75,3.04,99.0,100.0
2020/04/18,4.498,9.11,2.62,100.0,100.0
2020/04/19,5.031,11.87,1.92,100.0,100.0
2020/04/20,4.526,10.85,1.22,100.0,100.0
2020/04/21,4.541,10.56,1.16,100.0,100.0
2020/04/22,5.627,11.92,0.93,100.0,100.0
2020/04/23,5.451,10.33,3.49,100.0,100.0
2020/04/24,5.715,12.66,1.25,100.0,100.0
2020/04/25,5.036,8.35,2.67,100.0,100.0
2020/04/26,4.915,8.12,3.30,100.0,100.0
2020/04/27,4.470,6.38,3.39,100.0,100.0
2020/04/28,4.650,6.90,3.75,100.0,100.0
2020/04/29,5.863,10.80,3.27,100.0,100.0
2020/04/30,5.788,9.98,3.22,100.0,100.0
2020/05/01,5.128,7.61,3.99,100.0,100.0
2020/05/02,5.167,8.61,3.94,100.0,100.0
2020/05/03,5.337,8.21,3.68,100.0,100.0
2020/05/04,5.612,9.15,3.51,100.0,100.0
2020/05/05,4.877,6.77,3.58,100.0,100.0
2020/05/06,5.116,7.58,3.83,100.0,100.0
