fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/17,25.175515,48.439552,10.161354,100.0,100.0
2020/01/18,31.394489,48.439552,10.960915,100.0,100.0
2020/01/19,23.29275,50.035622,10.161354,100.0,100.0
2020/01/20,29.173657,49.236061,10.960915,100.0,100.0
2020/01/21,27.268746,48.439552,10.960915,100.0,100.0
2020/01/22,22.644718,50.83213,10.161354,100.0,100.0
2020/01/23,24.749159,49.236061,9.364845,100.0,100.0
2020/01/24,20.712171,48.439552,6.175758,99.3,100.0
2020/01/25,20.767378,46.843483,10.161354,100.0,100.0
2020/01/26,21.792133,49.236061,10.960915,100.0,100.0
2020/01/27,20.041971,46.843483,8.568336,100.0,100.0
2020/01/28,19.167007,47.643044,6.175758,100.0,100.0
2020/01/29,18.928906,46.046974,6.972267,100.0,100.0
2020/01/30,19.992083,46.046974,9.364845,100.0,100.0
2020/01/31,20.795226,46.046974,10.161354,100.0,100.0
2020/02/01,23.242968,47.643044,10.161354,100.0,100.0
2020/02/02,22.041148,50.035622,10.161354,100.0,100.0
2020/02/03,19.69316,46.843483,9.364845,100.0,100.0
2020/02/04,19.189301,47.643044,8.568336,100.0,100.0
2020/02/05,18.419474,50.035622,5.37925,100.0,100.0
2020/02/06,21.730992,45.250465,8.568336,100.0,100.0
2020/02/07,17.306431,44.450905,6.175758,100.0,100.0
2020/02/08,13.590491,46.046974,2.986671,100.0,100.0
2020/02/09,16.414787,43.654396,4.579689,100.0,100.0
2020/02/10,17.256543,43.654396,4.579689,100.0,100.0
2020/02/11,21.544877,38.072731,6.175758,99.3,100.0
2020/02/12,18.807069,30.098488,9.364845,100.0,100.0
2020/02/13,19.554538,24.516823,8.568336,100.0,100.0
2020/02/14,20.014166,26.10984,14.94651,100.0,100.0
2020/02/15,20.723022,25.313332,14.94651,100.0,100.0
2020/02/16,20.158086,27.70591,14.150002,100.0,100.0
2020/02/17,19.643166,24.516823,14.150002,100.0,100.0
2020/02/18,22.334498,38.86924,14.150002,100.0,100.0
2020/02/19,20.977822,39.6688,7.771828,100.0,100.0
2020/02/20,27.545226,51.713642,15.746071,99.3,100.0
2020/02/21,25.071754,38.954243,12.638935,100.0,100.0
2020/02/22,25.143788,34.968647,12.638935,100.0,100.0
2020/02/23,21.943024,52.510151,10.246357,100.0,100.0
2020/02/24,22.612927,39.750751,12.638935,100.0,100.0
2020/02/25,23.593093,38.954243,13.438496,100.0,100.0
2020/02/26,18.282483,48.524555,9.449848,100.0,100.0
2020/02/27,21.295055,49.321064,9.449848,100.0,100.0
2020/02/28,24.407192,47.728046,10.246357,100.0,100.0
2020/02/29,19.224035,47.728046,9.449848,100.0,100.0
2020/03/01,19.960589,46.928486,9.449848,100.0,100.0
2020/03/02,16.920361,42.94289,8.653339,100.0,100.0
2020/03/03,20.259514,45.335468,10.246357,100.0,100.0
2020/03/04,19.329172,46.928486,7.853779,100.0,100.0
2020/03/05,21.112331,47.728046,9.449848,100.0,100.0
2020/03/06,21.128989,47.728046,9.449848,100.0,100.0
2020/03/07,20.038176,46.131977,8.653339,100.0,100.0
2020/03/08,19.578548,44.535908,7.853779,100.0,100.0
2020/03/09,18.952874,48.524555,7.853779,100.0,100.0
2020/03/10,15.56911,46.131977,6.260761,100.0,100.0
2020/03/11,19.347862,51.089111,6.260761,100.0,100.0
2020/03/12,22.535657,50.289551,12.014404,100.0,100.0
2020/03/13,22.203312,50.289551,12.810913,100.0,100.0
2020/03/14,22.973055,48.696533,12.014404,100.0,100.0
2020/03/15,21.621825,50.289551,8.825317,100.0,100.0
2020/03/16,19.539764,39.126221,5.633179,100.0,100.0
2020/03/17,20.569711,47.896973,7.229248,100.0,100.0
2020/03/18,18.985954,46.303955,8.025757,100.0,100.0
2020/03/19,19.085666,47.100464,7.229248,100.0,100.0
2020/03/20,18.194087,46.303955,4.040161,100.0,100.0
2020/03/21,15.918111,45.507446,6.432739,100.0,100.0
2020/03/22,17.77305,44.707886,7.229248,100.0,100.0
2020/03/23,17.978005,44.707886,6.432739,100.0,100.0
2020/03/24,16.139427,43.911377,6.432739,100.0,100.0
2020/03/25,15.763129,45.507446,2.444092,100.0,100.0
2020/03/26,22.840303,28.759399,16.0,100.0,100.0
2020/03/27,21.943383,26.366821,17.596069,100.0,100.0
2020/03/28,20.365137,26.366821,15.203491,100.0,100.0
2020/03/29,21.68303,30.355469,16.0,100.0,100.0
2020/03/30,21.660651,48.696533,8.825317,100.0,100.0
2020/03/31,28.759972,48.696533,12.014404,100.0,100.0
2020/04/01,27.907196,49.493042,8.825317,100.0,100.0
2020/04/02,23.2887,47.100464,10.418335,100.0,100.0
2020/04/03,25.016419,48.696533,8.825317,100.0,100.0
2020/04/04,21.256399,45.507446,8.025757,100.0,100.0
2020/04/05,19.600566,47.100464,5.633179,100.0,100.0
2020/04/06,22.840346,46.303955,8.825317,100.0,100.0
2020/04/07,41.048065,54.278198,11.217896,100.0,100.0
2020/04/08,28.433158,48.696533,10.418335,100.0,100.0
2020/04/09,29.186328,46.303955,8.825317,100.0,100.0
2020/04/10,20.996173,44.707886,7.229248,100.0,100.0
2020/04/11,21.754937,47.100464,6.432739,100.0,100.0
2020/04/12,20.215368,47.100464,6.432739,100.0,100.0
2020/04/13,18.476438,44.707886,4.83667,100.0,100.0
2020/04/14,17.789835,43.911377,4.040161,100.0,100.0
2020/04/15,21.333922,46.303955,4.83667,100.0,100.0
2020/04/16,19.777864,45.507446,8.025757,100.0,100.0
2020/04/17,21.428166,43.114868,4.040161,100.0,100.0
2020/04/18,15.536027,41.518799,4.040161,100.0,100.0
2020/04/19,14.323292,41.518799,4.83667,100.0,100.0
2020/04/20,16.831901,45.507446,6.432739,100.0,100.0
2020/04/21,18.266121,44.707886,5.633179,100.0,100.0
2020/04/22,17.596133,47.100464,6.432739,100.0,100.0
2020/04/23,14.982324,45.507446,4.040161,100.0,100.0
2020/04/24,16.510703,42.315308,4.83667,100.0,100.0
2020/04/25,14.373138,41.518799,4.040161,100.0,100.0
2020/04/26,13.442903,39.922729,4.83667,100.0,100.0
2020/04/27,14.234622,41.518799,4.83667,100.0,100.0
2020/04/28,16.787587,43.911377,5.633179,100.0,100.0
2020/04/29,16.117493,42.315308,5.633179,100.0,100.0
2020/04/30,15.01549,42.315308,4.040161,100.0,100.0
2020/05/01,15.768702,40.72229,5.633179,100.0,100.0
2020/05/02,13.924529,39.922729,5.633179,100.0,100.0
2020/05/03,16.549507,43.911377,5.633179,100.0,100.0
2020/05/04,15.962574,41.518799,4.83667,100.0,100.0
2020/05/05,21.040423,42.315308,5.633179,100.0,100.0
2020/05/06,17.745754,43.114868,4.040161,100.0,100.0
2020/05/07,28.876468,43.911377,6.432739,100.0,100.0
2020/05/08,24.926973,48.439552,4.83667,100.0,100.0
2020/05/09,39.002204,52.425148,10.161354,100.0,100.0
2020/05/10,23.252908,48.439552,8.568336,100.0,100.0
2020/05/11,24.27211,48.439552,5.376198,100.0,100.0
2020/05/12,20.096373,44.450905,8.568336,100.0,100.0
2020/05/13,24.432624,46.046974,9.364845,100.0,100.0
2020/05/14,20.677987,45.247414,8.568336,100.0,100.0
2020/05/15,19.52029,45.247414,6.972267,100.0,100.0
2020/05/16,25.706267,45.247414,8.568336,100.0,100.0
2020/05/17,20.777572,45.247414,8.568336,100.0,100.0
2020/05/18,29.25029,47.639992,9.364845,100.0,100.0
2020/05/19,25.888864,45.247414,8.568336,100.0,100.0
2020/05/20,26.724961,46.843483,8.568336,100.0,100.0
2020/05/21,25.041747,43.654396,7.768776,100.0,100.0
2020/05/22,21.80771,44.450905,7.768776,100.0,100.0
2020/05/23,20.633525,44.450905,8.568336,100.0,100.0
2020/05/24,24.022587,44.450905,6.972267,100.0,100.0
2020/05/25,28.059659,46.843483,9.364845,100.0,100.0
2020/05/26,35.552212,48.439552,10.957863,100.0,100.0
2020/05/27,40.436508,50.83213,8.568336,100.0,100.0
2020/05/28,27.749567,46.046974,6.175758,100.0,100.0
2020/05/29,24.565503,46.046974,6.175758,100.0,100.0
