fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/01,97.560538,99.789,83.274,100.0,100.0
2020/01/02,93.637962,99.357,66.4,100.0,100.0
2020/01/03,87.633948,99.325,31.292,100.0,100.0
2020/01/04,65.555219,96.952,33.991,100.0,100.0
2020/01/05,86.113142,99.124,49.526,100.0,100.0
2020/01/06,89.90699,99.352,60.939,100.0,100.0
2020/01/07,76.254545,97.898,44.013,100.0,100.0
2020/01/08,77.851514,98.948,27.606,100.0,100.0
2020/01/09,77.693899,97.347,55.799,100.0,100.0
2020/01/10,96.132851,99.691,79.259,100.0,100.0
2020/01/11,98.67184,99.784,86.155,100.0,100.0
2020/01/12,95.310747,99.673,81.781,100.0,100.0
2020/01/13,92.063962,99.691,70.674,100.0,100.0
2020/01/14,86.546646,96.679,58.106,100.0,100.0
2020/01/15,89.359976,99.619,64.691,100.0,100.0
2020/01/16,92.256337,99.324,80.266,100.0,100.0
2020/01/17,99.25124,99.659,93.62,100.0,100.0
2020/01/18,98.452861,99.691,90.219,100.0,100.0
2020/01/19,99.06833,99.786,91.861,100.0,100.0
2020/01/20,97.338323,99.692,77.783,100.0,100.0
2020/01/21,93.695483,99.624,72.454,100.0,100.0
2020/01/22,93.295972,99.722,72.179,100.0,100.0
2020/01/23,89.34374,99.737,57.577,100.0,100.0
2020/01/24,88.644726,98.781,58.038,100.0,100.0
2020/01/25,85.993167,98.831,55.035,100.0,100.0
2020/01/26,90.828681,98.768,74.258,100.0,100.0
2020/01/27,85.371319,98.931,53.339,100.0,100.0
2020/01/28,77.920212,99.298,39.969,100.0,100.0
2020/01/29,91.896871,98.175,75.743,100.0,100.0
2020/01/30,97.518514,99.708,84.92,100.0,100.0
2020/01/31,97.438997,99.791,87.75,100.0,100.0
2020/02/01,97.330878,99.783,89.821,100.0,100.0
2020/02/02,95.158642,99.653,68.997,100.0,100.0
2020/02/03,96.383736,99.722,82.339,100.0,100.0
2020/02/04,88.028754,99.261,47.544,100.0,100.0
2020/02/05,41.111028,75.214,18.458,100.0,100.0
2020/02/06,63.057604,97.27,40.602,100.0,100.0
2020/02/07,81.806201,97.089,50.278,100.0,100.0
2020/02/08,84.848406,97.454,57.086,100.0,100.0
2020/02/09,86.91584,98.373,57.205,100.0,100.0
2020/02/10,95.215073,99.673,85.329,100.0,100.0
2020/02/11,47.040368,89.946,10.871,100.0,100.0
2020/02/12,91.360497,99.656,67.555,100.0,100.0
2020/02/13,85.818337,99.225,52.789,100.0,100.0
2020/02/14,87.172392,99.488,53.0,100.0,100.0
2020/02/15,96.554757,99.525,84.226,100.0,100.0
2020/02/16,98.52434,99.79,86.73,100.0,100.0
2020/02/17,96.951243,99.791,81.436,100.0,100.0
2020/02/18,98.900507,99.803,91.219,100.0,100.0
2020/02/19,99.726316,99.793,98.62,100.0,100.0
2020/02/20,93.215809,99.79,65.132,100.0,100.0
2020/02/21,89.398306,97.914,68.175,99.3,100.0
2020/02/22,92.835146,99.426,65.542,100.0,100.0
2020/02/23,90.031778,99.654,69.065,100.0,100.0
2020/02/24,92.841531,99.393,72.333,100.0,100.0
2020/02/25,86.303017,99.129,53.406,100.0,100.0
2020/02/26,88.875698,99.257,65.468,100.0,100.0
2020/02/27,93.564976,99.625,69.219,100.0,100.0
2020/02/28,93.877007,99.487,73.356,100.0,100.0
2020/02/29,93.299167,99.456,71.4,100.0,100.0
2020/03/01,91.971486,99.291,72.09,100.0,100.0
2020/03/02,95.404386,99.591,83.806,100.0,100.0
2020/03/03,95.809958,99.585,75.425,100.0,100.0
2020/03/04,89.711521,99.491,65.39,100.0,100.0
2020/03/05,97.651392,99.788,85.736,100.0,100.0
2020/03/06,96.592566,99.591,85.129,100.0,100.0
2020/03/07,91.441115,99.623,71.213,100.0,100.0
2020/03/08,97.719316,99.587,88.748,100.0,100.0
2020/03/09,92.592903,99.588,72.1,100.0,100.0
2020/03/10,93.461778,99.752,72.803,100.0,100.0
2020/03/11,90.198635,99.321,71.332,100.0,100.0
2020/03/12,93.5755,99.454,80.293,100.0,100.0
2020/03/13,89.758379,99.357,64.371,100.0,100.0
2020/03/14,95.715045,99.52,76.758,100.0,100.0
2020/03/15,89.631708,99.195,65.959,100.0,100.0
2020/03/16,89.440879,99.653,55.127,100.0,100.0
2020/03/17,89.996979,99.673,63.681,100.0,100.0
