fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/01,631.393917,632.722,630.02,100.0,100.0
2020/01/02,631.59507,633.249,630.072,100.0,100.0
2020/01/03,632.705153,634.225,631.369,100.0,100.0
2020/01/04,633.145156,634.435,631.948,100.0,100.0
2020/01/05,632.973118,634.263,631.86,100.0,100.0
2020/01/06,631.985212,633.278,630.876,100.0,100.0
2020/01/07,631.65192,633.043,630.547,100.0,100.0
2020/01/08,631.850799,632.925,630.828,100.0,100.0
2020/01/09,631.181281,632.681,630.088,100.0,100.0
2020/01/10,630.277132,631.49,629.1,100.0,100.0
2020/01/11,630.531833,631.983,628.927,100.0,100.0
2020/01/12,631.048295,632.38,629.927,100.0,100.0
2020/01/13,631.175035,632.371,629.796,100.0,100.0
2020/01/14,630.845344,632.125,629.739,100.0,100.0
2020/01/15,631.208038,632.482,629.6,100.0,100.0
2020/01/16,632.055087,633.322,630.745,100.0,100.0
2020/01/17,631.838465,633.338,630.503,100.0,100.0
2020/01/18,631.751306,633.117,630.46,100.0,100.0
2020/01/19,631.77317,633.336,630.441,100.0,100.0
2020/01/20,632.251823,633.706,630.986,100.0,100.0
2020/01/21,632.319052,633.627,630.9,100.0,100.0
2020/01/22,632.058767,633.453,630.408,100.0,100.0
2020/01/23,631.852285,632.911,630.222,100.0,100.0
2020/01/24,632.236417,634.09,630.673,100.0,100.0
2020/01/25,632.791097,634.55,631.491,100.0,100.0
2020/01/26,633.020038,634.201,631.828,100.0,100.0
2020/01/27,632.988316,634.349,631.244,100.0,100.0
2020/01/28,632.314931,633.531,630.755,100.0,100.0
2020/01/29,632.285278,633.63,631.109,100.0,100.0
2020/01/30,632.256979,633.656,631.022,100.0,100.0
2020/01/31,632.31199,633.381,631.232,100.0,100.0
2020/02/01,632.416125,634.044,631.104,100.0,100.0
2020/02/02,632.635496,633.765,631.288,100.0,100.0
2020/02/03,632.746399,634.115,631.622,100.0,100.0
2020/02/04,632.545514,633.676,631.33,100.0,100.0
2020/02/05,631.906087,633.357,630.336,100.0,100.0
2020/02/06,631.672069,633.123,630.446,100.0,100.0
2020/02/07,632.01366,633.294,630.699,100.0,100.0
2020/02/08,632.334601,633.552,630.976,100.0,100.0
2020/02/09,632.212306,633.499,630.766,100.0,100.0
2020/02/10,631.792458,632.783,630.596,100.0,100.0
2020/02/11,631.956542,633.205,630.853,100.0,100.0
2020/02/12,631.436087,632.947,630.424,100.0,100.0
2020/02/13,631.258451,632.595,629.928,100.0,100.0
2020/02/14,631.796573,633.219,630.294,100.0,100.0
2020/02/15,631.756312,633.234,630.642,100.0,100.0
2020/02/16,631.112896,632.523,629.898,100.0,100.0
2020/02/17,630.644712,631.976,629.427,100.0,100.0
2020/02/18,631.001788,632.646,629.602,100.0,100.0
2020/02/19,631.445316,633.114,629.933,100.0,100.0
2020/02/20,631.971764,633.287,630.553,100.0,100.0
2020/02/21,632.555237,633.936,631.249,99.7,100.0
2020/02/22,632.751667,634.088,631.387,100.0,100.0
2020/02/23,632.710608,634.266,631.406,100.0,100.0
2020/02/24,632.332264,633.51,631.036,100.0,100.0
2020/02/25,632.312479,633.662,630.796,100.0,100.0
2020/02/26,632.706757,634.133,631.332,100.0,100.0
2020/02/27,632.837757,634.002,631.381,100.0,100.0
2020/02/28,633.031885,634.345,631.719,100.0,100.0
2020/02/29,633.363118,634.865,631.611,100.0,100.0
2020/03/01,633.199628,634.556,631.78,100.0,100.0
2020/03/02,632.632972,633.836,631.569,100.0,100.0
2020/03/03,632.285802,633.779,631.008,100.0,100.0
2020/03/04,632.667847,634.068,631.122,100.0,100.0
2020/03/05,632.750424,634.207,631.186,100.0,100.0
2020/03/06,632.653677,634.055,631.357,100.0,100.0
2020/03/07,632.109656,633.562,630.415,100.0,100.0
2020/03/08,632.032316,633.741,630.454,100.0,100.0
2020/03/09,632.953288,634.296,631.546,100.0,100.0
2020/03/10,632.958514,634.414,631.595,100.0,100.0
2020/03/11,631.808049,633.2,629.858,100.0,100.0
2020/03/12,631.16891,633.174,629.699,100.0,100.0
2020/03/13,632.192278,633.795,630.358,100.0,100.0
2020/03/14,632.872917,634.306,631.413,100.0,100.0
2020/03/15,632.759764,634.04,631.174,100.0,100.0
2020/03/16,632.207205,633.565,630.407,100.0,100.0
2020/03/17,632.372941,633.8,631.065,100.0,100.0
2020/03/18,632.54476,633.857,631.049,100.0,100.0
2020/03/19,632.802097,634.07,631.304,100.0,100.0
2020/03/20,632.621302,634.173,630.987,100.0,100.0
2020/03/21,632.101951,633.419,630.913,100.0,100.0
2020/03/22,631.994795,633.795,630.627,100.0,100.0
2020/03/23,632.989135,634.253,631.586,100.0,100.0
2020/03/24,632.810941,634.319,631.256,100.0,100.0
2020/03/25,631.76524,632.955,630.255,100.0,100.0
2020/03/26,631.461594,632.945,629.666,100.0,100.0
2020/03/27,630.773493,631.983,628.882,100.0,100.0
2020/03/28,630.940455,632.505,629.465,100.0,100.0
2020/03/29,631.393694,632.743,630.339,100.0,100.0
2020/03/30,631.393187,632.766,629.858,100.0,100.0
2020/03/31,631.162483,632.418,630.114,100.0,100.0
2020/04/01,631.641406,633.243,630.461,100.0,100.0
2020/04/02,632.535743,633.901,631.314,100.0,100.0
2020/04/03,631.852312,633.459,630.276,100.0,100.0
2020/04/04,631.336372,632.628,630.18,100.0,100.0
2020/04/05,632.284372,634.007,630.817,100.0,100.0
2020/04/06,632.756319,633.98,631.313,100.0,100.0
2020/04/07,633.196941,634.925,631.813,100.0,100.0
2020/04/08,632.663063,634.095,631.427,100.0,100.0
2020/04/09,632.579292,634.095,631.344,100.0,100.0
