fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/01/01,2.3535,3.8,0.7,304.71456,100.0,100.0
2020/01/02,0.716667,1.0,0.2,348.403099,100.0,100.0
2020/01/03,1.74,3.8,0.3,214.809164,96.2,95.8
2020/01/04,2.321918,3.6,0.3,306.006971,99.7,100.0
2020/01/05,3.403922,5.0,1.2,283.236187,97.6,95.8
2020/01/06,2.744615,5.1,0.6,280.284886,100.0,100.0
2020/01/07,2.839286,4.6,1.2,169.108287,100.0,100.0
2020/01/08,2.433333,5.3,0.4,168.020497,100.0,100.0
2020/01/09,4.644033,7.0,1.7,120.126349,100.0,100.0
2020/01/10,4.967883,6.5,3.2,117.362996,100.0,100.0
2020/01/11,5.07069,6.3,3.6,117.225056,100.0,100.0
2020/01/12,5.047368,6.7,3.5,116.186419,100.0,100.0
2020/01/13,4.297059,6.8,1.7,119.626744,100.0,100.0
2020/01/14,3.448901,5.5,2.1,120.743055,100.0,100.0
2020/01/15,3.671134,5.5,1.9,117.742105,100.0,100.0
2020/01/16,4.388785,6.0,2.9,116.828645,98.6,95.8
2020/01/17,5.282192,7.1,3.4,118.376479,100.0,100.0
2020/01/18,5.742857,8.2,4.1,106.976304,100.0,100.0
2020/01/19,4.621774,6.6,2.4,117.447825,100.0,100.0
2020/01/20,1.8,2.4,1.1,311.516941,100.0,100.0
2020/01/21,1.365455,2.5,0.4,94.483972,99.0,100.0
2020/01/22,2.350937,4.273,0.336,285.052038,100.0,100.0
2020/01/23,2.522475,4.0,0.586,280.957749,100.0,100.0
2020/01/24,2.327571,3.969,0.945,218.174323,100.0,100.0
2020/01/25,1.17575,1.828,0.297,130.944745,100.0,100.0
2020/01/26,1.156429,2.445,0.359,49.197556,100.0,100.0
2020/01/27,1.783537,4.359,0.117,92.07146,100.0,100.0
2020/01/28,3.139288,5.023,1.375,312.71267,95.8,95.8
2020/01/29,2.727068,4.125,1.078,283.150494,100.0,100.0
2020/01/30,0.219,0.266,0.172,209.5,100.0,100.0
2020/01/31,4.013917,6.367,1.953,105.202399,100.0,100.0
2020/02/01,3.0795,4.352,2.219,168.330339,100.0,100.0
2020/02/02,0.5,0.758,0.242,222.0,100.0,100.0
2020/02/03,3.447092,6.023,0.484,103.293626,100.0,100.0
2020/02/04,2.860734,4.859,0.695,125.462913,99.0,100.0
2020/02/05,2.593667,3.789,1.992,160.25,100.0,100.0
2020/02/06,2.857831,4.805,1.547,102.364253,100.0,100.0
2020/02/07,2.243,4.039,0.492,126.189648,100.0,100.0
2020/02/08,1.823658,3.094,0.258,307.603227,100.0,100.0
2020/02/09,1.355778,1.898,0.125,310.432244,100.0,100.0
2020/02/10,2.80333,4.742,1.055,104.132552,100.0,100.0
2020/02/11,2.766,2.766,2.766,158.0,100.0,100.0
2020/02/12,2.023,2.023,2.023,160.0,100.0,100.0
2020/02/13,3.820941,5.664,0.875,99.95231,100.0,100.0
2020/02/14,2.4455,2.672,2.219,167.0,100.0,100.0
2020/02/15,3.303,5.07,1.781,103.372743,100.0,100.0
2020/02/16,3.009863,4.516,1.625,119.434145,100.0,100.0
2020/02/17,4.013953,5.641,2.25,119.068354,100.0,100.0
2020/02/18,4.38572,6.617,1.5,119.737025,100.0,100.0
2020/02/19,1.5656,2.031,0.859,161.625065,100.0,100.0
2020/02/20,1.37875,2.789,0.789,225.18502,100.0,100.0
2020/02/21,1.659636,2.625,0.734,134.525054,99.3,100.0
2020/02/22,1.5765,2.609,0.539,131.397083,100.0,100.0
2020/02/23,2.075673,3.906,0.195,98.251734,100.0,100.0
2020/02/24,1.332185,1.852,0.32,46.162374,100.0,100.0
2020/02/25,1.186429,2.133,0.461,351.154723,100.0,100.0
2020/02/26,1.273957,2.07,0.133,48.540014,96.5,95.8
2020/02/27,1.610879,3.305,0.125,86.623293,100.0,100.0
2020/02/28,2.187444,4.234,0.68,169.713245,100.0,100.0
2020/02/29,1.76275,3.219,0.289,129.672278,100.0,100.0
2020/03/01,2.69885,4.195,1.336,165.880422,100.0,100.0
2020/03/02,1.959092,4.164,0.586,124.474473,100.0,100.0
2020/03/03,3.165932,5.641,0.109,100.557703,100.0,100.0
2020/03/04,2.41266,4.219,0.93,124.181254,100.0,100.0
2020/03/05,2.407107,4.812,1.445,168.739091,121.2,100.0
2020/03/06,1.894444,2.8,0.3,322.419012,100.0,100.0
2020/03/07,1.824,3.1,0.4,167.052056,100.0,100.0
2020/03/08,2.746429,5.6,0.5,97.373539,100.0,100.0
2020/03/09,1.969886,4.0,0.3,129.8851,100.0,100.0
2020/03/10,2.098936,3.4,1.0,99.503775,100.0,100.0
2020/03/11,2.065254,4.1,0.5,125.029694,100.0,100.0
2020/03/12,2.156757,4.4,0.2,98.565151,100.0,100.0
2020/03/13,2.165625,3.9,0.5,175.443369,100.0,100.0
2020/03/14,0.45,0.5,0.4,216.5,100.0,100.0
2020/03/15,0.2,0.4,0.1,216.914902,100.0,100.0
2020/03/16,1.910959,3.4,0.2,311.811243,100.0,100.0
2020/03/17,0.35,0.6,0.1,54.5,100.0,100.0
2020/03/18,2.1,3.1,0.3,280.414477,100.0,100.0
2020/03/19,2.568182,4.1,1.3,181.887245,100.0,100.0
2020/03/20,2.64,3.2,1.9,343.5,99.7,100.0
2020/03/21,2.8,2.8,2.8,355.0,100.0,100.0
2020/03/22,1.46,2.4,0.4,39.879138,100.0,100.0
2020/03/23,0.8,1.1,0.3,230.027991,100.0,100.0
2020/03/24,1.224324,2.3,0.4,55.018811,100.0,100.0
2020/03/25,0.38,0.6,0.2,261.416648,100.0,100.0
2020/03/26,1.644444,4.3,0.3,173.354083,100.0,100.0
2020/03/27,1.570968,3.0,0.7,314.28852,100.0,100.0
2020/03/28,0.471429,0.8,0.2,276.599586,100.0,100.0
2020/03/29,2.567742,4.1,1.6,167.639438,100.0,100.0
2020/03/30,4.779787,8.1,1.5,102.132716,100.0,100.0
2020/03/31,2.491061,5.1,0.7,124.083984,100.0,100.0
2020/04/01,1.264,2.2,0.3,168.759215,100.0,100.0
2020/04/02,0.3,0.4,0.2,232.745868,100.0,100.0
2020/04/03,4.840385,6.6,2.4,101.767187,100.0,100.0
2020/04/04,3.808889,5.6,1.0,104.845922,100.0,100.0
2020/04/05,1.9,2.0,1.8,165.0,100.0,100.0
2020/04/06,4.039773,6.1,2.0,105.935964,100.0,100.0
2020/04/07,4.257377,7.0,1.2,103.814183,100.0,100.0
2020/04/08,4.146939,5.7,1.2,121.318196,100.0,100.0
2020/04/09,4.049383,6.7,2.1,103.664505,100.0,100.0
2020/04/10,2.168462,4.2,1.0,126.21685,100.0,100.0
2020/04/11,0.775,1.0,0.6,52.859825,100.0,100.0
2020/04/12,1.690909,3.7,0.8,164.720225,100.0,100.0
